#,Producto visible,Categoría visible,Categoría final interpretada,Subcategoría interpretada,Tipo visible,Stock visible,Precio proveedor visible,Precio sugerido visible,Marca/Proveedor visible,Producto privado observable,Observación cruda
17,Faja Pierna Corta2605,Belleza,Belleza / Fajas,Faja pierna corta,Variable,9783,$ 80.460,$ 105.000,PRENDAS CONTROL,No,Uno de los stocks visibles más altos de la muestra.
18,Body Brasilero2695,Belleza,Belleza / Fajas,Body brasilero,Variable,46376,$ 26.000,$ 27.000,PRENDAS CONTROL,No,Stock extremadamente alto en comparación con el resto de la muestra.
19,Combo Set2526,Belleza,Belleza / Fajas,Combo set,Variable,600,$ 66.000,Variable,PRENDAS CONTROL,No,Producto combo.
20,Cinturilla Avispa2626,Belleza,Belleza / Fajas,Cinturilla,Variable,272,$ 41.281,$ 85.000,PRENDAS CONTROL,No,Producto de control con precio sugerido alto frente a proveedor.
21,Top Acanalado Aleatorio2676,Belleza,Moda / Ropa deportiva,Top,Simple,217,$ 9.839,$ 9.839,PRENDAS CONTROL,No,Precio proveedor y sugerido iguales.
22,Short Hasta La Rodilla2664,Belleza,Belleza / Fajas,Short de control,Variable,2167,$ 22.448,$ 28.785,PRENDAS CONTROL,No,Producto con stock alto.
23,Body Con Tiras2680,Belleza,Belleza / Fajas,Body,Variable,59,$ 26.000,$ 0,PRENDAS CONTROL,No,Precio sugerido 0 visible; stock bajo.
24,Short Invisible Con Cremallera2653,Belleza,Belleza / Fajas,Short de control,Variable,268,$ 45.123,$ 41.781,PRENDAS CONTROL,No,Precio sugerido menor al proveedor visible; revisar dato.
25,Batido Para La Ansiedad209,Bienestar,Bienestar / Suplementos,Batido,Simple,76,$ 11.772,$ 11.772,PRENDAS CONTROL,No,Producto de bienestar dentro de un supplier de prendas/fajas.
26,Brasier Con Realce2607,Belleza,Belleza / Fajas,Brasier,Variable,8533,$ 30.848,$ 89.900,PRENDAS CONTROL,No,Stock alto; precio sugerido mayor al proveedor.
27,Crema Exfoliante2002,Belleza,Cuidado personal,Crema exfoliante,Simple,198,$ 5.292,$ 5.292,PRENDAS CONTROL,No,Producto de cuidado personal.
28,Combo Cinturilla Coliplus2516,Belleza,Belleza / Fajas,Combo cinturilla,Variable,695,$ 75.600,$ 70.000,PRENDAS CONTROL,No,Precio sugerido menor al proveedor visible; revisar dato.
29,Faja Lipo Con Brasier Incluido2624,Belleza,Belleza / Fajas,Faja lipo,Variable,8397,$ 97.092,$ 89.900,PRENDAS CONTROL,No,Stock alto; precio sugerido menor al proveedor visible.
30,Camisilla De Hombre2658,Ropa Deportiva,Moda / Ropa deportiva,Camisilla,Variable,3095,$ 26.000,$ 75.900,PRENDAS CONTROL,No,Producto masculino de control/ropa.
31,Corset 9 Varillas2669,Belleza,Belleza / Fajas,Corset,Variable,4370,$ 48.000,$ 0,PRENDAS CONTROL,No,Precio sugerido 0 visible.
32,Short De Licra Tiro Alto2654,Belleza,Belleza / Fajas,Short de control,Variable,4318,$ 32.519,$ 89.900,PRENDAS CONTROL,No,Stock alto y precio sugerido alto.
33,Gel Reafirmante Frio Caliente2008,Bienestar,Cuidado personal,Gel reafirmante,Simple,462,$ 10.692,$ 10.692,PRENDAS CONTROL,No,Producto complementario de fajas/cuidado corporal.
34,Body De Compresion Con Manga 2670,Belleza,Belleza / Fajas,Body compresión,Variable,2826,$ 25.931,$ 38.000,PRENDAS CONTROL,No,Producto de compresión.
35,Short Cachetero Con Varillas2644,Belleza,Belleza / Fajas,Short cachetero,Variable,7294,$ 36.044,$ 33.374,PRENDAS CONTROL,No,Precio sugerido menor al proveedor visible.
36,Medias De Compresion2655,Ropa Deportiva,Bienestar / Compresión,Medias de compresión,Variable,1345,$ 11.292,$ 35.000,PRENDAS CONTROL,No,Producto de compresión categorizado como ropa deportiva.
37,Faja Tejida X2252,Belleza,Belleza / Fajas,Faja,Variable,1200,$ 60.000,Variable,PRENDAS CONTROL,No,Combo / producto tejido.
38,Faja Seamless Abertura Per2601,Belleza,Belleza / Fajas,Faja seamless,Variable,368,$ 37.000,$ 39.000,PRENDAS CONTROL,No,Producto de control seamless.
39,Body Manga Larga2668,Belleza,Belleza / Fajas,Body manga larga,Variable,2222,$ 28.080,$ 0,PRENDAS CONTROL,No,Precio sugerido 0 visible.
40,Media Completa Compresion2770,Salud,Bienestar / Compresión,Media de compresión,Variable,,$ 12.960,$ 12.000,PRENDAS CONTROL,No,Parte derecha del screenshot cortada; stock no visible completo.
41,Short Cremallera Tiro Alto2627,Belleza,Belleza / Fajas,Short de control,Variable,6376,$ 46.378,$ 75.000,PRENDAS CONTROL,No,Stock alto.
42,Panty Brasilero2651,Belleza,Belleza / Fajas,Panty,Variable,5135,$ 24.840,$ 75.000,PRENDAS CONTROL,No,Stock alto.
43,Enterizo Espalda descubierta2613,Ropa Deportiva,Moda / Ropa deportiva,Enterizo deportivo,Variable,597,$ 40.000,Variable,PRENDAS CONTROL,Sí,Card azul de producto privado observado.
44,Combo Body Pantyfex2511,Belleza,Belleza / Fajas,Combo body/panty,Variable,148,$ 75.600,$ 149.900,PRENDAS CONTROL,No,Combo con precio sugerido alto.
45,Faja Seamless Espalda Descubierta2609,Belleza,Belleza / Fajas,Faja seamless,Variable,1128,$ 36.000,$ 28.489,PRENDAS CONTROL,No,Precio sugerido menor al proveedor visible; revisar dato.
46,Calcetin De Compresion2621,Belleza,Bienestar / Compresión,Calcetín de compresión,Variable,61,$ 12.960,$ 12.960,PRENDAS CONTROL,No,Precio proveedor y sugerido iguales.
47,Chaleco Corset 9 Varillas2698,Belleza,Belleza / Fajas,Chaleco corset,Variable,1206,$ 59.400,$ 0,PRENDAS CONTROL,No,Precio sugerido 0 visible.
48,Combo Invisible2523,Belleza,Belleza / Fajas,Combo invisible,Variable,591,$ 50.000,Variable,PRENDAS CONTROL,No,Producto combo.
49,Body De Compresión2659,Belleza,Belleza / Fajas,Body compresión,Variable,2583,$ 26.000,$ 0,PRENDAS CONTROL,No,Precio sugerido 0 visible.
50,Combo Bienestar2514,Bienestar,Bienestar / Combo,Combo bienestar,Variable,900,$ 70.200,Variable,PRENDAS CONTROL,No,Producto combo.
51,Corrector De Juanete2625,Belleza,Bienestar / Ortopedia,Corrector de juanete,Simple,,$ 13.707,$ 13.707,PRENDAS CONTROL,No,Parte derecha del screenshot cortada; stock no visible completo.
