#,Nombre producto visible,Categoría visible,Precio proveedor,Precio sugerido,Stock visible,Etiqueta visible,Tipo visible,Observación cruda,Pantallazo fuente,,,,,,,,,,,,,,,,,,,,,,
35,Combo Secador Plancha Cepillo Rizador,Tecnología,99900,150000,186,Exclusivo,No visible,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
36,Llave Universal 48 Hidrovadora 2 Bat,Vehículos,87900,109900,376,Exclusivo,No visible,Nombre visible parcial,2.20.10,,,,,,,,,,,,,,,,,,,,,,
37,Kit Lampara Panel Solar Linterna 3 Bom,Tecnología,50900,70900,2,Exclusivo,No visible,Nombre visible parcial,2.20.10,,,,,,,,,,,,,,,,,,,,,,
38,Combo Mini Plancha Viajera Rizador,Belleza,24900,34900,149,Exclusivo,No visible,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
39,Set Tapete De Baño Trapero Escurridor,Hogar,37900,45900,72,Exclusivo,No visible,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
40,Organizador De Baño Esquinero Grande,Hogar,33900,39900,,Exclusivo,No visible,Stock no legible en captura,2.20.10,,,,,,,,,,,,,,,,,,,,,,
41,Dispensador Crema Dental Soporte Esteril,Hogar,13400,20900,462,Exclusivo,No visible,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
42,Camara Robotica Ip Wifi Full Hd 1080p Ptz,Tecnología,54900,69900,155,Exclusivo,No visible,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
43,Estuche Kit Manicura Cortauñas Acero,Belleza,24900,34900,50,Exclusivo,No visible,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
44,Kit De Maquillaje Y Joyeria Infantil,Juguetería,44900,54900,296,Exclusivo,No visible,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
45,Encrespador Electrico Pestañas,Belleza,23900,39900,89,Exclusivo,No visible,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
46,Combo Secador Plancha Aguacate,Belleza,79900,89900,270,Exclusivo,No visible,Nombre visible parcial,2.20.10,,,,,,,,,,,,,,,,,,,,,,
47,Combo Cepillo Alisador Pinza Rizador,Belleza,43900,59900,50,Exclusivo,No visible,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
48,Cinta Kinesiologica Vendaje Terapeutico,Bienestar,13900,25900,46,Exclusivo,Variable,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
49,Irrigador Oral Recargable Patille,Belleza,24900,42900,505,Exclusivo,Variable,Nombre visible parcial,2.20.10,,,,,,,,,,,,,,,,,,,,,,
50,Aspirador Nasal Para Bebes Saca Mocos,Salud,39900,54900,,Exclusivo,No visible,Stock no legible en captura,2.20.10,,,,,,,,,,,,,,,,,,,,,,
51,Set Arte Ninos Maleta 150 Piezas Crayon,Otro,39900,55000,50,Exclusivo,No visible,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
52,Set De Arte Ninos Maleta 208 Piezas,Otro,22900,59900,1997,Exclusivo,Variable,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
53,Carretilla Zorra Metalica,Hogar,83900,93900,495,Exclusivo,No visible,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
54,Zapatero Tela 9 Niveles Organizador,Hogar,34900,44900,66,Exclusivo,Variable,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
55,Set De Arte Maleta Ninos 208 Piezas,Otro,22900,34900,500,Exclusivo,No visible,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
56,Esponja De Maquillaje De Belleza 7 Pieza,Belleza,19900,24900,1,Exclusivo,No visible,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
57,Escurridor Organizador Loza Drenaje Agua,Hogar,51900,69900,498,Exclusivo,No visible,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
58,Kit De Arte Para Ninos 208 Piezas,Hogar,23900,32900,20,Exclusivo,Variable,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
59,Hervidor Electrico Sokany,Cocina,34900,44900,298,Exclusivo,No visible,,2.20.10,,,,,,,,,,,,,,,,,,,,,,
60,Tapiz Aluminio Cocina 1 Rollo,Hogar,12900,24900,,Exclusivo,No visible,Nombre/stock visible parcial,2.20.10,,,,,,,,,,,,,,,,,,,,,,
61,Escurridor De Platos 3 Niveles,Cocina,52900,84900,377,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
62,Organizador De Baño Estanteria Metalico,Hogar,42900,54900,50,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
63,Molde De Silicona Hielo Facial,Belleza,13900,22900,21,Exclusivo,Variable,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
64,Set De Cuchillos X6,Cocina,11900,18900,481,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
65,Combo Cepillo Secador Aguacate Plancha,Belleza,59900,74900,64,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
66,Aspiradora Recogedor De Pelo Mascota,Mascotas,26900,26900,43,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
67,Combo Armario 3 Puestoszapatero 9nivele,Hogar,77900,129900,72,Exclusivo,Variable,Nombre visible parcial,2.20.16,,,,,,,,,,,,,,,,,,,,,,
68,Linterna Frontal Guadana Inalambrica,Tecnología,107900,129900,45,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
69,Porta Comida Recipiente Hermetico,Cocina,52900,59900,100,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
70,Turkesterone,Salud,27000,49900,,Exclusivo,No visible,Stock no legible en captura,2.20.16,,,,,,,,,,,,,,,,,,,,,,
71,Kit De Banda De Resistencia 11pz,Ropa Deportiva,14900,24900,100,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
72,Parasol Protector Parabrisas Automovil,Tecnología,12900,19900,101,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
73,Secadora De Ropa Portatil,Vaporizadores,47900,54900,173,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
74,Carrito Organizador 3 Niveles Multiusos,Hogar,79900,99900,27,Exclusivo,Variable,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
75,Telon De Navidad Pared,Hogar,51900,80000,204,Exclusivo,Variable,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
76,Set Termo Temperatura Acero Inoxidable,Cocina,19900,29900,191,Exclusivo,Variable,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
77,Kit Viajero Organizador De Ropa 7 Piezas,Hogar,24900,29900,175,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
78,Cesto Triple Plegable Para Ropa Sucia,Hogar,26900,34900,455,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
79,Lampara 30 Led Solar Con Sensor,Tecnología,13000,19900,20,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
80,Set Secador Cepillo Aguacate,Belleza,48900,54900,,Exclusivo,No visible,Stock no legible en captura,2.20.16,,,,,,,,,,,,,,,,,,,,,,
81,Taladro Inalambrico De 18v Con Percutor,Herramientas,145000,159900,47,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
82,Protector Funda Sofa 2 Puestos Elastico,Mascotas,39900,49900,24,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
83,Irrigador Oral Recargable Sarro 4 Boqui,Salud,16900,44900,1960,Exclusivo,Variable,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
84,Crispetera Electrica,Cocina,35900,40900,171,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
85,Muneca Voladora Drones Ninos Juguete Rec,Juguetería,13900,41900,241,Exclusivo,Variable,Nombre visible parcial,2.20.16,,,,,,,,,,,,,,,,,,,,,,
86,Dispensador Crema Dental Soporte Porta,Salud,19700,20000,5,Exclusivo,Variable,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
87,Lampara De Escritorio Con Base Brazo,Tecnología,37900,49900,79,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
88,Picador De Verduras Bravo,Cocina,20900,30900,299,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
89,Kit Solar Killo 3 Bombillos Bateria,Tecnología,64900,79900,76,Exclusivo,No visible,,2.20.16,,,,,,,,,,,,,,,,,,,,,,
90,Aspiradora Inalambrica Vertical,Herramientas,47900,,,Exclusivo,No visible,Precio/stock parcialmente visibles,2.20.16,,,,,,,,,,,,,,,,,,,,,,
91,Radio Walkie Talkie Baofeng Bf888s,Tecnología,49000,84900,865,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
92,Tobillera Doble Compresion Elastico,Ropa Deportiva,14900,19900,54,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
93,Set Bolsas 7 Piezas 3 Piezas Para nte,Hogar,29900,49900,47,Exclusivo,No visible,Nombre visible parcial,2.20.23,,,,,,,,,,,,,,,,,,,,,,
94,Herramientas De Copas Y Llaves,Herramientas,45900,55900,496,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
95,Masajeador Facial Reductor De Papada Eco,Belleza,19800,29900,278,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
96,Combo Plancha Cepillo Aguacate Rizado,Tecnología,74900,84900,279,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
97,Transmisor Carro Carg7 Usb Aux Bluetooth,Tecnología,14900,19900,44,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
98,Combo Hidrolavadora aspirador Porta 2ba,Tecnología,54900,69900,760,Exclusivo,No visible,Nombre visible parcial,2.20.23,,,,,,,,,,,,,,,,,,,,,,
99,Cepillo Plancha Secador 2 En 1 Alisador,Belleza,12900,17900,288,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
100,Ejercitador Suelo Pelvico Entrenador,Deportes,13500,19900,28,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
101,Depiladora De Cristal Removedor De Vello,Belleza,12000,17900,29,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
102,Hidrolavadora 2 Baterias Juego Ratches,Hogar,57900,69900,926,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
103,Peluche Muneco Juguete Respira Calma,Bebé,75000,95000,50,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
104,Llave Universal 48 En 1 Multifuncion,Vehículos,17900,19900,120,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
105,Lamparas Luz Led X3 Portatil Inalambrica,Tecnología,15400,20900,37,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
106,Caneca Basurero Bote Cocina Plegable,Hogar,24900,34900,34,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
107,Papel Encerado Para Olla Freidora X100,Cocina,7900,12000,317,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
108,Combo De Almohadas 3d Algodon Full Cal,Salud,43500,59900,1731,Exclusivo,No visible,Nombre visible parcial,2.20.23,,,,,,,,,,,,,,,,,,,,,,
109,Camara De Seguridad Hd 1080p Espia,Tecnología,75900,95900,28,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
110,Organizador De Loza Triple Nivel,Cocina,54900,70000,5,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
111,Juego De Copas Wrench 46 Piezas,Herramientas,16800,24900,437,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
112,Doppler Fetal Ultrasonido Monitor De Lat,Bebé,23900,34900,97,Exclusivo,No visible,Nombre visible parcial,2.20.23,,,,,,,,,,,,,,,,,,,,,,
113,Kit De Marcadores De 48 Rotuladores,Bisutería,24900,29900,187,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
114,Combo Nanosecador,Tecnología,75900,90000,109,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
115,Kit X12 Piezas De Marcadores Dobles,Otro,47900,54900,194,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
116,Peluche Astronauta Proyector De Estrella,Juguetería,74900,89900,50,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
117,Soplador Profesional Bateria 24v,Vehículos,64900,79900,8,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
118,2 Mandolina Cortador Verduras Prensado,Hogar,64900,79900,48,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
119,Zapatero Cubierta 5 Niveles Con Perchero,Hogar,35900,49900,296,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
120,Ejercitador Suelo Pelvico Con Contacto,Deportes,19900,29900,22,Exclusivo,No visible,,2.20.23,,,,,,,,,,,,,,,,,,,,,,
121,Almohada 3d De Algodon Full Calidad,Salud,21900,30900,189,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
122,Exprimidor Electrico Recargable Zumo,Cocina,38900,49900,150,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
123,Intercomunicador Compatible Para Elmaz,Herramientas,52900,65000,600,Exclusivo,No visible,Nombre visible parcial,2.21.16,,,,,,,,,,,,,,,,,,,,,,
124,Kit De Pestanas Magneticas Caja Rosa,Belleza,17900,19400,176,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
125,Masajeador Facial Reductor De Papada Eco,Belleza,19800,29900,278,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
126,Set Bolsas 7 Piezas 3 Piezas Ropa Inte,Hogar,29900,49900,47,Exclusivo,No visible,Nombre visible parcial,2.21.16,,,,,,,,,,,,,,,,,,,,,,
127,Combo Candado Moto Alarma De Discomanil,Tecnología,59900,69900,103,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
128,Masajeador Facial Reductor Recargable,Belleza,24900,40000,185,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
129,Termo Trio Tipo Stanley,Hogar,21900,31900,300,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
130,Kit De Marcadores De 48 Rotuladores,Bisutería,24900,29900,187,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
131,Oximetro Para Dedo Con Pantalla Led,Salud,14900,24900,591,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
132,Batidora De Mano 7 Velocidades,Tecnología,25400,35400,42,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
133,Mochila Bandolera Antirrobo,Tecnología,24900,50900,188,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
134,Pelota Bola Inteligente Para Gatos Perro,Mascotas,13900,27800,72,Exclusivo,Variable,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
135,Peluche Star Belly Dream Lites Luz Noct,Juguetería,39900,74000,200,Exclusivo,No visible,Nombre visible parcial,2.21.16,,,,,,,,,,,,,,,,,,,,,,
136,Radiofrecuencia Electroporacion Mesotera,Tecnología,49900,54900,200,Exclusivo,No visible,Nombre visible parcial,2.21.16,,,,,,,,,,,,,,,,,,,,,,
137,Organizador De Ropa Y Zapatos Armario,Hogar,59900,69900,191,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
138,Afeitadora Barbera Patillera Bolso,Moda,49900,58900,50,Exclusivo,Variable,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
139,Batidora 2 En 1 Espumador 3 Veloc,Cocina,22400,52400,187,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
140,Cepillo Secador Para Cabello Aguacate,Belleza,24900,29900,257,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
141,Cinturon Colicos Masajeador Calor,Salud,19400,52900,167,Exclusivo,Variable,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
142,Dispensador Crema Dental Soporte Esteril,Hogar,13400,20900,45,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
143,Lampara Uv Led Para Unas Secado Rapido,Belleza,69900,79900,150,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
144,4 Lamparas Panel Solar 30 Led,Tecnología,32900,44900,40,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
145,Perchero Zapatero Doble Alta Resistencia,Hogar,89900,109900,1,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
146,Secadora De Ropa Portatil,Vaporizadores,47900,54900,173,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
147,Lampara 30 Led Solar Con Sensor,Tecnología,13000,19900,20,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
148,Kit Ejercitador Hand Grip Mano Muñeca,Deportes,16900,22900,78,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
149,Camara Ip Forma De Robot Vision Nocturna,Tecnología,119900,159900,48,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
150,Turkesterone,Salud,27000,49900,25,Exclusivo,No visible,,2.21.16,,,,,,,,,,,,,,,,,,,,,,
