#,Producto visible,Categoría final,Subcategoría interpretada,Categoría visible plataforma,Etiqueta visible,Tipo visible,Stock visible,Precio proveedor,Precio sugerido,Fuente screenshot,Observación cruda
19,Combo Oximetro Tensiometro,Salud,Medición salud,,Verificado,,,,,Captura 8.09.14,
20,Colchon De Camping Inflable,Hogar,Camping,,Verificado,,,,,Captura 8.09.14,
21,Antena Tdt Interior Tm 1080,Tecnología,TV / antenas,,Verificado,,,,,Captura 8.09.14,
22,Soporte De Chupas Para Baño Antideslizante,Hogar,Baño,,Verificado,,,,,Captura 8.09.14,
23,Secador Del Plancha Aguacate Rizador,Belleza,Cuidado capilar,,Verificado,,,,,Captura 8.09.14,
24,Timbre Con Camara Inteligente Inalambrico,Tecnología,Seguridad,,Verificado,,,,,Captura 8.09.14,
25,Lampara De Mesa Escritorio Brazo Flexible,Hogar,Iluminación,,Verificado,,,,,Captura 8.09.14,
26,Corrector De Postura Espalda,Bienestar,Postura,,Verificado,,,,,Captura 8.09.14,
27,El Lapiz Acupuntura Electronico 3 En 1,Bienestar,Acupuntura / masaje,,Verificado,,,,,Captura 8.09.14,
28,Combo Plancha Aguacate Secador De Pelo,Belleza,Cuidado capilar,,Verificado,,,,,Captura 8.09.14,
29,Destornillador Electrico Inalambrico,Herramientas,Destornillador,,Verificado,,,,,Captura 8.09.14,
30,Organizador De Cocina Con Tapa 2 Niveles,Hogar,Organización,,Verificado,,,,,Captura 8.09.14,
31,Pistola Para Pintar 400W Elite,Herramientas,Pintura,,Verificado,,,,,Captura 8.09.02,
32,Combo Ruedabanda Masajeador Mini,Deportes,Ejercicio / masaje,,Verificado,,,,,Captura 8.09.02,
33,Carretilla Carreta Carro Plegable Zorra,Herramientas,Transporte carga,,Verificado,,,,,Captura 8.09.02,
34,Reflector Dj Luces Led,Tecnología,Iluminación,,Verificado,,,,,Captura 8.09.02,
35,Kit Solar Gd8017 3 Bombillos Linterna,Tecnología,Solar / iluminación,,Verificado,,,,,Captura 8.09.02,
36,Sillin Silla Individual Inflable,Hogar,Inflables,,Verificado,,,,,Captura 8.09.02,
37,Juego De Ollas Y Utensilios 13 Piezas,Cocina,Ollas / utensilios,,Verificado,,,,,Captura 8.09.02,
38,Tapete Extra Grande Plegable Para Bebe,Bebé,Tapete bebé,,Verificado,,,,,Captura 8.09.02,
39,Mini Maquina Donaquina Olla Fundidora,Cocina,Fundidora,,Verificado,,,,,Captura 8.09.02,
40,Rodillo Rueda Abdominal Automatico,Deportes,Ejercicio,,Verificado,,,,,Captura 8.09.02,
41,Zapatero 6 Niveles Doble De Tela,Hogar,Organización,,Verificado,,,,,Captura 8.09.02,
42,Extractor Nasal Bebes Saca Mocos,Salud,Cuidado bebé,,Verificado,,,,,Captura 8.09.02,
43,Juguete Avion Dron Con Control,Juguetería,Dron / juguete,,Verificado,,,,,Captura 8.09.02,
44,Lampara De Mesa Brazo Flexible,Hogar,Iluminación,,Verificado,,,,,Captura 8.09.02,
45,Espejo Luz Led Parasol Carro Tocador,Vehículos,Accesorio carro,,Verificado,,,,,Captura 8.09.02,
46,Cinturon Para Colicos Alambres Resfriad,Bienestar,Cólicos / terapia,,Verificado,,,,,Captura 8.09.02,
47,Balanza Gramera Bascula Pesa Digital,Cocina,Báscula,,Verificado,,,,,Captura 8.09.02,
48,Zapatero De Tela 5 Puertas,Hogar,Organización,,Verificado,,,,,Captura 8.09.02,
49,Set De Arte 145 Piezas,Juguetería,Arte / niños,,Verificado,,,,,Captura 8.09.02,
50,Tendedero De Ropa Plegable 4 Niveles,Hogar,Lavandería,,Verificado,,,,,Captura 8.09.02,
51,Pop It Luz Y Sonido Hello Kitty,Juguetería,Pop it,,Verificado,,,,,Captura 8.09.02,
52,Decodificador Tdt Dx9221 Antena Wifi,Tecnología,TV / decodificador,,Verificado,,,,,Captura 8.09.02,
53,Mini Aspiradora 12v 60w,Tecnología,Aspiradora,,Verificado,,,,,Captura 8.09.02,
54,Juguete Gato Bola Interactivo Inteligente,Mascotas,Juguete mascota,,Verificado,,,,,Captura 8.09.02,
55,Rodillera Ortopedica Ajustable,Bienestar,Rodillera,,Verificado,,,,,Captura 8.09.02,
56,Corrector De Postura Ajustable Negro,Bienestar,Postura,,Verificado,,,,,Captura 8.09.02,
57,Tasa Batidora,Cocina,Batidora,,Verificado,,,,,Captura 8.09.02,
58,X3 Luces Led Inalambrica Con Control,Tecnología,Iluminación,,Verificado,,,,,Captura 8.09.02,
59,Cepillo Secador One Step Voluminizador,Belleza,Cuidado capilar,,Verificado,,,,,Captura 8.09.02,
60,Masajeador Muscular Curvo,Tecnología,Masajeador,,Verificado,,,,,Captura 8.09.02,
61,Mini Pistola Masajeador Muscular,Tecnología,Masajeador,,Verificado,,,,,Captura 8.08.55,
62,Maquina Gemy 3 En 1 Barberia Recargable,Belleza,Barbería,,Verificado,,,,,Captura 8.08.55,
63,Tendedero Doble Organizador De Ropa,Hogar,Lavandería,,Verificado,,,,,Captura 8.08.55,
64,Medias Altas Compresion Mejor Circulacion,Salud,Compresión,,Verificado,,,,,Captura 8.08.55,
65,Peluche Bailarin Musical Interactivo,Juguetería,Peluche interactivo,,Verificado,,,,,Captura 8.08.55,
66,Combo Alarma De Moto 46 Raches,Vehículos,Moto / seguridad,,Verificado,,,,,Captura 8.08.55,
67,Lonchera Varpora Electrica Portacomida,Tecnología,Electrodoméstico,,Verificado,,,,,Captura 8.08.55,
68,Combo Aguacate Sd06 Secador De Pelo,Belleza,Cuidado capilar,,Verificado,,,,,Captura 8.08.55,
69,Almohadilla Compresa Termica,Hogar,Terapia térmica,,Verificado,,,,,Captura 8.08.55,
70,Combo Zapatero 6 Niv Armario 106 Negro,Hogar,Organización,,Verificado,,,,,Captura 8.08.55,
71,Juego Set Cuchillos 6pc,Cocina,Cuchillos,,Verificado,,,,,Captura 8.08.55,
72,Bolsas De Empaque Al Vacio X5 Bomba,Hogar,Almacenamiento,,Verificado,,,,,Captura 8.08.55,
73,Gimnasia Pasiva 5 En 1,Deportes,Gimnasia pasiva,,Verificado,,,,,Captura 8.08.55,
74,Maquina Electrica Olla Fundidora,Cocina,Fundidora,,Verificado,,,,,Captura 8.08.55,
75,Codera De Ajuste,Bienestar,Soporte articular,,Verificado,,,,,Captura 8.08.55,
76,Tapete De Baño Absorbente,Hogar,Baño,,Verificado,,,,,Captura 8.08.55,
77,2 Radios Walkie Talkie Baofeng Audif. In,Tecnología,Comunicación,,Verificado,,,,,Captura 8.08.55,
78,100 Luces Navidad Panel Solar,Tecnología,Iluminación,,Verificado,,,,,Captura 8.08.55,
79,Aspiradora De Mascotas Shed Pal,Mascotas,Cuidado mascotas,,Verificado,,,,,Captura 8.08.55,
80,Combo Plancha Y Cepillo Keratina Pinza,Belleza,Cuidado capilar,,Verificado,,,,,Captura 8.08.55,
81,Tabla Push Up Soporte Flexiones De Pecho,Deportes,Ejercicio,,Verificado,,,,,Captura 8.08.55,
82,Ducha Regadera Portatil Recargable,Cocina,Accesorio agua,,Verificado,,,,,Captura 8.08.55,
83,Cepillo One Step Plancha Remington 2086,Belleza,Cuidado capilar,,Verificado,,,,,Captura 8.08.55,
84,Mini Camara Espia Vigilancia Ip A9 Wifi,Tecnología,Seguridad,,Verificado,,,,,Captura 8.08.55,
85,Silla Escalera Plegable Para Niño Orinal,Bebé,Orinal / escalera,,Verificado,,,,,Captura 8.08.55,
86,Maquina Hacer Pasta Manual Rollera,Cocina,Pasta,,Verificado,,,,,Captura 8.08.55,
87,Set De Cuchillos X13 Piezas Miracle,Cocina,Cuchillos,,Verificado,,,,,Captura 8.08.55,
88,Radio Alarma Parlante 43bt Moto,Tecnología,Audio / moto,,Verificado,,,,,Captura 8.08.55,
89,Picadora Procesador Sokany Electrico,Cocina,Procesador,,Verificado,,,,,Captura 8.08.55,
90,Pistola Automatica Luz Uv,Herramientas,Herramienta,,Verificado,,,,,Captura 8.08.55,
91,Molino Manual De Carne De Prensa,Cocina,Molino carne,,Verificado,,,,,Captura 8.08.40,
92,Masajeador De Ventosa Dinamicas 5 En 1,Tecnología,Masajeador,,Verificado,,,,,Captura 8.08.40,
93,Limpiador A Vapor Presurizado Alta Temp,Hogar,Limpieza,,Verificado,,,,,Captura 8.08.40,
94,Combo Aguacate Sd06 Secador Pelorizado,Belleza,Cuidado capilar,,Verificado,,,,,Captura 8.08.40,
95,Zapatero Perchero De Tela,Hogar,Organización,,Verificado,,,,,Captura 8.08.40,
96,Horno Electrico Tostador,Tecnología,Electrodoméstico,,Verificado,,,,,Captura 8.08.40,
97,Juego De Alicates Universales,Herramientas,Alicates,,Verificado,,,,,Captura 8.08.40,
98,Rodillera Termica Electrica Terapia,Bienestar,Terapia térmica,,Verificado,,,,,Captura 8.08.40,
99,Tapete Masajeador Electrico Estimulador,Bienestar,Masaje / estimulación,,Verificado,,,,,Captura 8.08.40,
100,Mini Masajeador Pulpo Portatil,Tecnología,Masajeador,,Verificado,,,,,Captura 8.08.40,
101,Lampara Solar Exteriores Control Rmto,Tecnología,Iluminación solar,,Verificado,,,,,Captura 8.08.40,
102,Organizador Esquinero Hasta 2.60mts,Hogar,Organización,,Verificado,,,,,Captura 8.08.40,
103,Kit De Aerografo Inalambrico Compresor,Tecnología,Aerógrafo,,Verificado,,,,,Captura 8.08.40,
104,Armario 106 Negro Zapatero De Tela Negro,Hogar,Organización,,Verificado,,,,,Captura 8.08.40,
105,Rueda Automatica Bandas Tabla Push Up,Deportes,Ejercicio,,Verificado,,,,,Captura 8.08.40,
106,Camara De Vigilancia Domo,Tecnología,Seguridad,,Verificado,,,,,Captura 8.08.40,
107,Extractor Exprimidor Naranjas Jugo Fruta,Hogar,Cocina / extractor,,Verificado,,,,,Captura 8.08.40,
108,Cortador De Papas Potato Chipper,Cocina,Cortador,,Verificado,,,,,Captura 8.08.40,
109,Porta Rollos Dispensador Cocina,Cocina,Organización,,Verificado,,,,,Captura 8.08.40,
110,Lampara Led De Bola De Cristal,Tecnología,Iluminación,,Verificado,,,,,Captura 8.08.40,
111,Encendedor Electrico Recargable De Arco,Herramientas,Encendedor,,Verificado,,,,,Captura 8.08.40,
112,Bombillo Bluetooth Parlante 12w Luces,Tecnología,Audio / iluminación,,Verificado,,,,,Captura 8.08.40,
113,Combo Barbera Mini Molino De Cafe,Hogar,Electro / combo,,Verificado,,,,,Captura 8.08.40,
114,Batidora 7 Velocidades Juego Cuchillos,Hogar,Electro / cocina,,Verificado,,,,,Captura 8.08.40,
115,Embutidor De Chorizo,Cocina,Embutidor,,Verificado,,,,,Captura 8.08.40,
116,Pistola Machadora 10 Clavos,Herramientas,Pistola clavos,,Verificado,,,,,Captura 8.08.40,
117,Rodillo Masajeador De Pie,Bienestar,Masaje pies,,Verificado,,,,,Captura 8.08.40,
118,Pinza Rizadora De Pelo En Espiral,Belleza,Cuidado capilar,,Verificado,,,,,Captura 8.08.40,
119,Cepillo De Limpieza Electrico Para Baño,Tecnología,Limpieza eléctrica,,Verificado,,,,,Captura 8.08.40,
120,Llavero Fifa Pops Del Mundo,Deportes,Accesorio fútbol,,Verificado,,,,,Captura 8.08.40,
121,Batidor De Mano Molino De Cafe,Cocina,Batidor / molino,,Verificado,,,,,Captura 8.08.27,
122,Almohada Para Piernas Rodillas Cojin,Salud,Soporte piernas,,Verificado,,,,,Captura 8.08.27,
123,Combo Aguacate Sd06 Secador De Pelo,Belleza,Cuidado capilar,,Verificado,,,,,Captura 8.08.27,
124,Tensiometro,Salud,Medición salud,,Verificado,,,,,Captura 8.08.27,
125,Combo 3 Unidades Cinta Levanta Busto,Belleza,Cuidado corporal,,Verificado,,,,,Captura 8.08.27,
126,Kit X Moldes Silicona Para Air Fryer,Cocina,Moldes air fryer,,Verificado,,,,,Captura 8.08.27,
127,Set Hand Gripparhe Masajeador,Deportes,Ejercicio manos,,Verificado,,,,,Captura 8.08.27,
128,Repuesto De Filtro Purificador De Agua,Tecnología,Filtro agua,,Verificado,,,,,Captura 8.08.27,
129,Eliminador De Acaros Portatil Colchon,Hogar,Limpieza colchón,,Verificado,,,,,Captura 8.08.27,
130,Fuente De Agua Gatos Blanca,Mascotas,Fuente agua mascotas,,Verificado,,,,,Captura 8.08.27,
131,Calentador Portatil De Leche Para Bebe,Bebé,Alimentación bebé,,Verificado,,,,,Captura 8.08.27,
132,Ventosa Chupa Saca Golpes Carro 1x Uni,Hogar,Herramienta ventosa,,Verificado,,,,,Captura 8.08.27,
133,Escurridor De Platos De Red,Cocina,Escurridor,,Verificado,,,,,Captura 8.08.27,
134,Hidrolavadora 2 Baterias Aspiradora Mini,Herramientas,Hidrolavadora / aspiradora,,Verificado,,,,,Captura 8.08.27,
135,Dispensador De Jabon Para Platos,Cocina,Dispensador,,Verificado,,,,,Captura 8.08.27,
136,Set Organizador De Baño,Hogar,Baño,,Verificado,,,,,Captura 8.08.27,
137,Guadaña Herramienta Podadora Cortacesped,Hogar,Jardín,,Verificado,,,,,Captura 8.08.27,
138,Muñeco Peluche Bailarin Repite Sonidos,Juguetería,Peluche interactivo,,Verificado,,,,,Captura 8.08.27,
139,Molino Rallador Multiusos Picador,Cocina,Rallador / picador,,Verificado,,,,,Captura 8.08.27,
140,Radio Para Carro Con Bluetooth 12V,Tecnología,Audio carro,,Verificado,,,,,Captura 8.08.27,
141,Trapero Spray Mop Con Rociador,Hogar,Limpieza,,Verificado,,,,,Captura 8.08.27,
142,Set De Utensilios De Cocina 12 Piezas,Cocina,Utensilios,,Verificado,,,,,Captura 8.08.27,
143,Freidora De Aire Electrica 12 Litros,Hogar,Electrodoméstico,,Verificado,,,,,Captura 8.08.27,
144,Hervidor De Huevos Mini Waflera,Cocina,Electro cocina,,Verificado,,,,,Captura 8.08.27,
145,Lonchera Electrica,Hogar,Portacomida eléctrica,,Verificado,,,,,Captura 8.08.27,
146,Quita Callos Removedor De Callos,Salud,Cuidado pies,,Verificado,,,,,Captura 8.08.27,
147,Combo Maquina Budat99 Maquina Wahl Senior,Belleza,Barbería,,Verificado,,,,,Captura 8.08.27,
148,Parlante 8 25v Con Microfono,Tecnología,Audio,,Verificado,,,,,Captura 8.08.27,
149,Aspiradora Vertical De Mano Con Extensor,Hogar,Aspiradora,,Verificado,,,,,Captura 8.08.27,
150,Mini Compresor Azul,Tecnología,Compresor,,Verificado,,,,,Captura 8.08.27,
151,Cepillo Deslanador De Pelo,Mascotas,Cuidado mascotas,,Verificado,,,,,Captura 8.08.14,
152,Secador Pelo Peine Para Mascotas 2 En 1,Mascotas,Cuidado mascotas,,Verificado,,,,,Captura 8.08.14,
153,Lampara Reflector Solar 50 W,Tecnología,Iluminación solar,,Verificado,,,,,Captura 8.08.14,
154,Set De Cosmeticos Para Niña,Juguetería,Cosméticos infantiles,,Verificado,,,,,Captura 8.08.14,
155,Rodillera Termica Rodillera Ortopedica,Bienestar,Rodillera,,Verificado,,,,,Captura 8.08.14,
156,Lonchera Lunch Box 3 Piezas,Hogar,Lonchera,,Verificado,,,,,Captura 8.08.14,
157,Maquina Coser Portatil Mini,Hogar,Máquina de coser,,Verificado,,,,,Captura 8.08.14,
158,Secador Remington Plancha Aguacate,Belleza,Cuidado capilar,,Verificado,,,,,Captura 8.08.14,
159,Destornilladores 48 Luz Llavero,Herramientas,Destornillador / llavero,,Verificado,,,,,Captura 8.08.14,
160,Zapatero 6 Niveles Organizador Baño Medi,Hogar,Organización,,Verificado,,,,,Captura 8.08.14,
161,Reflector Lampara Solar 100 W,Tecnología,Iluminación solar,,Verificado,,,,,Captura 8.08.14,
162,Escurridor De Platos 3 Niveles,Cocina,Escurridor,,Verificado,,,,,Captura 8.08.14,
163,Soplador Recargable,Tecnología,Soplador,,Verificado,,,,,Captura 8.08.14,
164,Combo Camara A9 Mini Linterna Llavero,Tecnología,Seguridad / linterna,,Verificado,,,,,Captura 8.08.14,
165,Cargador De Bateria De Carro De 12v 6a,Tecnología,Cargador carro,,Verificado,,,,,Captura 8.08.14,
166,Juego De Mesa Basta Piensa,Juguetería,Juego de mesa,,Verificado,,,,,Captura 8.08.14,
167,Difusor De Secador De Cabello,Belleza,Cuidado capilar,,Verificado,,,,,Captura 8.08.14,
168,Tarjetas Interactivas,Juguetería,Juego educativo,,Verificado,,,,,Captura 8.08.14,
169,Secador De Pelo Nova,Belleza,Cuidado capilar,,Verificado,,,,,Captura 8.08.14,
170,Faja Deportiva Tobillera Ajustable X2,Deportes,Soporte deportivo,,Verificado,,,,,Captura 8.08.14,
171,Plancha Aguacate Para Cabello,Belleza,Cuidado capilar,,Verificado,,,,,Captura 8.08.14,
172,Organizador Cisterna Inodoro 3 Niveles,Hogar,Baño / organización,,Verificado,,,,,Captura 8.08.14,
173,Aspiradora Para Carro 120w,Tecnología,Aspiradora carro,,Verificado,,,,,Captura 8.08.14,
174,Bomba De Transferencia De Liquido,Herramientas,Bomba,,Verificado,,,,,Captura 8.08.14,
175,Audifono Para Sordos,Salud,Ayuda auditiva,,Verificado,,,,,Captura 8.08.14,
176,Aire Acondicionado Gwt Ventilador Portatil,Hogar,Ventilación,,Verificado,,,,,Captura 8.08.14,
177,Kit Inalambrico Teclado Mouse,Tecnología,Computación,,Verificado,,,,,Captura 8.08.14,
178,Removedor De Callos Electrico Rosa,Belleza,Cuidado pies,,Verificado,,,,,Captura 8.08.14,
179,Mini Parche Masajeador Electrico,Hogar,Masajeador,,Verificado,,,,,Captura 8.08.14,
180,Hidrolavador 2 Baterias Compresor Mini,Tecnología,Hidrolavadora / compresor,,Verificado,,,,,Captura 8.08.14,
