#,ID producto,Producto,SKU,Categoría final,Categoría visible plataforma,Tipo producto,Disponible en,Bodega,Precio proveedor,Precio sugerido,Diferencia precio,% margen sugerido sobre proveedor,Stock público,Stock privado,Cantidad imágenes visibles,Tiene descripción,Descripción excede screenshot,Tipo descripción,Beneficios visibles,Modo de uso visible,Especificaciones visibles,Garantías visibles,Recursos adicionales visibles,Texto genérico repetido,Texto mal renderizado / JSON,Observación cruda,Fuente screenshot
11,123323.0,Kit De Aerografo Inalambrico Compresor,wad,Herramientas,Otro,Simple,Bogotá,BOGOTA,57900.0,65000.0,7100.0,0.1226252158894646,172.0,0.0,3.0,Sí,No,Específica producto / uso creativo,Sí,No visible,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,No,"Descripción visible del aerógrafo recargable, compacto y versátil. Indica que el color se envía aleatoriamente y menciona duración de batería/uso.",Captura 2026-05-29 8.42.10 a.m.
12,1821077.0,Pinza Rizadora De Pelo En Espiral,NJMNJM,Belleza,"Tecnología, Belleza",Simple,Bogotá,BOGOTA,13900.0,15000.0,1100.0,0.07913669064748201,217.0,0.0,3.0,Sí,No,Especificaciones en lista,Sí,Sí,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,No,"Descripción visible en lista con beneficios de rizado, acceso rápido, dirección de giro y protección de quemaduras.",Captura 2026-05-29 8.42.06 a.m.
13,1861229.0,Medias Altas Compresion Mejor Circulacio,dsf,Bienestar,Salud,Simple,Bogotá,BOGOTA,6900.0,12000.0,5100.0,0.7391304347826086,815.0,0.0,3.0,Sí,No,Muy corta / nombre del producto,No visible,No visible,No visible,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,No,Detalle visible con descripción corta: 'Medias Altas Compresión Mejor Circulació'.,Captura 2026-05-29 8.42.02 a.m.
14,1225289.0,Cinturon Para Colicos Calambres Resfriad,e5,Bienestar,Salud,Simple,Bogotá,BOGOTA,19900.0,30000.0,10100.0,0.507537688442211,178.0,0.0,3.0,Sí,Sí,Descripción extensa / especificaciones en bloque,Sí,No visible,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,No,"Descripción visible con bloque extenso sobre control, vibración, temperatura, calentamiento rápido, chip de seguridad, velocidades, masaje de vibración y contenido del paquete.",Captura 2026-05-29 8.41.55 a.m.
15,1648684.0,Corrector De Postura Espalda,q2,Bienestar,Salud,Simple,Bogotá,BOGOTA,19900.0,25000.0,5100.0,0.2562814070351759,241.0,0.0,2.0,Sí,No,Descripción extensa / educativa,Sí,No visible,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,No,"Descripción visible extensa sobre postura corporal, uso en contexto de trabajo sedentario y 5 razones para cuidar la postura.",Captura 2026-05-29 8.41.51 a.m.
17,2129148.0,Rizador Plancha Agua Secador Cepillo,,Belleza,Tecnología,Simple,Bogotá,BOGOTA,94900.0,110000.0,15100.0,0.15911485774499473,163.0,0.0,4.0,Sí,No,Muy corta / combo,No visible,No visible,No visible,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,No,"Detalle visible con descripción corta: 'Combo, rizador + plancha + secador + cepillo'.",Captura 2026-05-29 8.41.43 a.m.
18,2154309.0,Bingo Macrooutlet Clasico Juego De Mesa,,Juguetería,Bienestar,Simple,Bogotá,BOGOTA,49900.0,60000.0,10100.0,0.20240480961923857,250.0,0.0,3.0,Sí,No,Específica producto / contenido del juego,Sí,No visible,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,No,"Descripción visible en viñetas: ideal para grupos grandes, hasta 18 jugadores; incluye 18 tarjetas y 75 balotas numeradas de plástico.",Captura 2026-05-29 8.41.39 a.m.
19,898197.0,Chocolatera Fundidora De Chocolate,2/7,Cocina,"Cocina, Hogar",Simple,Bogotá,BOGOTA,24900.0,30000.0,5100.0,0.20481927710843384,211.0,0.0,5.0,Sí,No,Específica producto / contenido incluido,Sí,No visible,Sí,"Pestaña visible, no abierta","Pestaña visible, no abierta",No,No,"Descripción visible de máquina eléctrica chocolatera con moldes para bombones. Incluye lista de accesorios, manual, moldes y potencia de 15W.",Captura 2026-05-29 8.41.34 a.m.
19,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,
