ID fila,Producto visible,Categoría visible/inferida,Proveedor,Stock visible,Precio proveedor,Precio sugerido,Margen valor,Margen %,Estado visible,Tipo/etiqueta visible,Bodega visible,Fuente,Notas crudas
130,Maquina Dermapen,Belleza,OH HOMIE,299,62500,75000,12500,0.16666666666666666,Activo,Exclusivo,Bogotá,Feed visible,
131,Lavadora Portatil,Hogar,OH HOMIE,281,32000,40000,8000,0.2,Activo,Exclusivo,Bogotá,Feed visible,
132,Aspiradora Electrica De Mascotas,Mascotas,OH HOMIE,292,23000,47000,24000,0.5106382978723404,Activo,Exclusivo,Bogotá,Feed visible,
133,Luz Led Recargablecl08,Hogar,OH HOMIE,300,23000,40000,17000,0.425,Activo,Exclusivo,Bogotá,Feed visible,
134,Sorpresa Stitch,Otro,OH HOMIE,296,20000,40000,20000,0.5,Activo,Exclusivo,Bogotá,Feed visible,
135,Patineta Monster,Otro,OH HOMIE,300,95000,120000,25000,0.20833333333333334,Activo,Exclusivo,Bogotá,Feed visible,
136,Lonchera Capybara Tipo Peluche,Bebé,OH HOMIE,292,21000,41000,20000,0.4878048780487805,Activo,Exclusivo,Bogotá,Feed visible,
137,Mosquitero Para Bebes,Bebé,OH HOMIE,49,42000,72000,30000,0.4166666666666667,Activo,Exclusivo / Variable,Bogotá,Feed visible,
138,Pistola De Burbujas 4561a,Juguetería,OH HOMIE,258,49000,72000,23000,0.3194444444444444,Activo,Exclusivo,Bogotá,Feed visible,
139,Ejercitador De Mano Y Brazo Pd2,Deportes,OH HOMIE,249,18000,23000,5000,0.21739130434782608,Activo,Exclusivo,Bogotá,Feed visible,
140,Juegos De Dedos Electricas,Otro,OH HOMIE,296,23000,43000,20000,0.46511627906976744,Activo,Exclusivo,Bogotá,Feed visible,
141,Filtro De Agua Para Grifo De Cocina,Cocina,OH HOMIE,258,19000,27000,8000,0.2962962962962963,Activo,Exclusivo,Bogotá,Feed visible,
142,Organizador De Huevos 3 Niveles Plegable,Cocina,OH HOMIE,200,31000,50000,19000,0.38,Activo,Exclusivo,Bogotá,Feed visible,
143,Conjunto 2 Piezas De Tira,Ropa Deportiva,OH HOMIE,300,22000,36000,14000,0.3888888888888889,Activo,Exclusivo / Variable,Bogotá,Feed visible,
144,Tobillera,Deportes,OH HOMIE,199,17000,47000,30000,0.6382978723404256,Activo,Exclusivo,Bogotá,Feed visible,
145,Grifo De Agua Caliente X008,Hogar,OH HOMIE,249,62000,88000,26000,0.29545454545454547,Activo,Exclusivo,Bogotá,Feed visible,
146,Combo Termo De Acero Plancha Alisador,Cocina,OH HOMIE,468,35000,55000,20000,0.36363636363636365,Activo,Exclusivo / Variable,Bogotá,Feed visible,
147,Pedalier Portatil Con Pantalla Digital,Deportes,OH HOMIE,309,93000,126000,33000,0.2619047619047619,Activo,Exclusivo,Bogotá,Feed visible,
148,Delineador Pestañas Magnetico,Moda,OH HOMIE,295,20000,40000,20000,0.5,Activo,Exclusivo,Bogotá,Feed visible,
149,Mini Ventilador De Escritorio Con Luz Led,Tecnología,OH HOMIE,300,28750,48000,19250,0.4010416666666667,Activo,Exclusivo,Bogotá,Feed visible,
150,Pijama Moto Unica,Vehículos,OH HOMIE,489,20000,30000,10000,0.3333333333333333,Activo,Exclusivo,Bogotá,Feed visible,
